OBJECTID,SHAPE_Area,SHAPE_Leng,WADMKC,WADMKK,WADMPR,mean,month,var,year
428,0.00387713859664,0.3636260503,Pameungpeuk,Garut,Jawa Barat,25.651182716123515,5,tmean_c,2022
430,0.0104450021215,0.550010293389,Pamulihan,Garut,Jawa Barat,20.815656067785675,5,tmean_c,2022
438,0.00167772427629,0.334748194815,Pangatikan,Garut,Jawa Barat,21.864270228724333,5,tmean_c,2022
461,0.00451259005747,0.412668753736,Pasirwangi,Garut,Jawa Barat,19.120854916998315,5,tmean_c,2022
468,0.00456345295184,0.300907189797,Peundeuy,Garut,Jawa Barat,24.168964789521084,5,tmean_c,2022
506,0.0046456155587,0.434772276231,Samarang,Garut,Jawa Barat,20.145033531374583,5,tmean_c,2022
510,0.0029067808153,0.400490095756,Selaawi,Garut,Jawa Barat,22.82139717803092,5,tmean_c,2022
524,0.00431435996945,0.335034623681,Singajaya,Garut,Jawa Barat,22.69306388089308,5,tmean_c,2022
533,0.00258570591084,0.295153888781,Sucinaraja,Garut,Jawa Barat,21.897963534032044,5,tmean_c,2022
554,0.00267409968887,0.333443854312,Sukaresmi,Garut,Jawa Barat,19.362863015999164,5,tmean_c,2022
562,0.00303365528774,0.30755174976,Sukawening,Garut,Jawa Barat,21.87168922509183,5,tmean_c,2022
578,0.00895694247179,0.535401365841,Talegong,Garut,Jawa Barat,20.3583651237568,5,tmean_c,2022
597,0.00423073509134,0.296157460258,Tarogong Kaler,Garut,Jawa Barat,21.217742587674078,5,tmean_c,2022
598,0.00160665653325,0.256536759548,Tarogong Kidul,Garut,Jawa Barat,21.856510232084588,5,tmean_c,2022
621,0.00185013551746,0.317929292318,Wanaraja,Garut,Jawa Barat,21.8820348079651,5,tmean_c,2022
29,0.00994920128902,0.498717502599,Banjarwangi,Garut,Jawa Barat,20.566739859553135,6,tmean_c,2022
34,0.00387701787238,0.466619020777,Banyuresmi,Garut,Jawa Barat,20.746055962174047,6,tmean_c,2022
41,0.00377332165161,0.323563001001,Bayongbong,Garut,Jawa Barat,19.66781213709222,6,tmean_c,2022
69,0.0138913839324,0.896048780705,Bungbulang,Garut,Jawa Barat,22.30776831950197,6,tmean_c,2022
79,0.0093655059389,0.664791293249,Caringin,Garut,Jawa Barat,23.94526228963595,6,tmean_c,2022
93,0.0176866755796,0.734655704781,Cibalong,Garut,Jawa Barat,24.180315942678746,6,tmean_c,2022
96,0.0031259061506,0.356240171341,Cibatu,Garut,Jawa Barat,20.916849378021283,6,tmean_c,2022
110,0.00174291448018,0.226564261522,Cibiuk,Garut,Jawa Barat,21.00403487884921,6,tmean_c,2022
130,0.00272391026561,0.259079402271,Cigedug,Garut,Jawa Barat,19.22024661569975,6,tmean_c,2022
138,0.00447076701275,0.328957296726,Cihurip,Garut,Jawa Barat,22.00448475252604,6,tmean_c,2022
145,0.00877105191672,0.733471298424,Cikajang,Garut,Jawa Barat,20.257400198577088,6,tmean_c,2022
160,0.0144442726556,0.646888090051,Cikelet,Garut,Jawa Barat,23.873493541659183,6,tmean_c,2022
169,0.00653810063178,0.494807261914,Cilawu,Garut,Jawa Barat,20.64046460990588,6,tmean_c,2022
220,0.0131496583772,0.641894318181,Cisewu,Garut,Jawa Barat,21.60031909412809,6,tmean_c,2022
223,0.0141322512659,0.665266503991,Cisompet,Garut,Jawa Barat,23.63205008004328,6,tmean_c,2022
224,0.00750923336275,0.439466170018,Cisurupan,Garut,Jawa Barat,18.518683556822552,6,tmean_c,2022
249,0.00245941913595,0.384481696202,Garut Kota,Garut,Jawa Barat,20.73190549921109,6,tmean_c,2022
299,0.0031484713815,0.298128997356,Kadungora,Garut,Jawa Barat,21.271584236028122,6,tmean_c,2022
314,0.00433984366237,0.307214204406,Karangpawitan,Garut,Jawa Barat,20.765713382198538,6,tmean_c,2022
317,0.00251785268648,0.225458478591,Karangtengah,Garut,Jawa Barat,20.575889693366207,6,tmean_c,2022
332,0.00199121169243,0.279712115836,Kersamanah,Garut,Jawa Barat,20.699276110551427,6,tmean_c,2022
356,0.00577596704376,0.469132088729,Leles,Garut,Jawa Barat,20.55595479513226,6,tmean_c,2022
365,0.00193521890584,0.331001480214,Leuwigoong,Garut,Jawa Barat,20.980477476857732,6,tmean_c,2022
381,0.00852173195363,0.49052935546,Malangbong,Garut,Jawa Barat,21.00320581821715,6,tmean_c,2022
396,0.00353988874243,0.333146337727,Mekarmukti,Garut,Jawa Barat,23.651855405171716,6,tmean_c,2022
420,0.0156765180059,0.80860228674,Pakenjeng,Garut,Jawa Barat,22.169542573342355,6,tmean_c,2022
428,0.00387713859664,0.3636260503,Pameungpeuk,Garut,Jawa Barat,24.80673821767175,6,tmean_c,2022
430,0.0104450021215,0.550010293389,Pamulihan,Garut,Jawa Barat,19.853085356652112,6,tmean_c,2022
438,0.00167772427629,0.334748194815,Pangatikan,Garut,Jawa Barat,20.67600769466827,6,tmean_c,2022
461,0.00451259005747,0.412668753736,Pasirwangi,Garut,Jawa Barat,18.076629674151924,6,tmean_c,2022
468,0.00456345295184,0.300907189797,Peundeuy,Garut,Jawa Barat,23.162960810314228,6,tmean_c,2022
506,0.0046456155587,0.434772276231,Samarang,Garut,Jawa Barat,19.063719563570043,6,tmean_c,2022
510,0.0029067808153,0.400490095756,Selaawi,Garut,Jawa Barat,21.803520345591554,6,tmean_c,2022
524,0.00431435996945,0.335034623681,Singajaya,Garut,Jawa Barat,21.60078183229641,6,tmean_c,2022
533,0.00258570591084,0.295153888781,Sucinaraja,Garut,Jawa Barat,20.71009041851578,6,tmean_c,2022
554,0.00267409968887,0.333443854312,Sukaresmi,Garut,Jawa Barat,18.309946778159794,6,tmean_c,2022
562,0.00303365528774,0.30755174976,Sukawening,Garut,Jawa Barat,20.68596215449077,6,tmean_c,2022
578,0.00895694247179,0.535401365841,Talegong,Garut,Jawa Barat,19.384873237955894,6,tmean_c,2022
597,0.00423073509134,0.296157460258,Tarogong Kaler,Garut,Jawa Barat,20.09553316328263,6,tmean_c,2022
598,0.00160665653325,0.256536759548,Tarogong Kidul,Garut,Jawa Barat,20.709795400831467,6,tmean_c,2022
621,0.00185013551746,0.317929292318,Wanaraja,Garut,Jawa Barat,20.693977592337873,6,tmean_c,2022
29,0.00994920128902,0.498717502599,Banjarwangi,Garut,Jawa Barat,20.759912795675113,7,tmean_c,2022
34,0.00387701787238,0.466619020777,Banyuresmi,Garut,Jawa Barat,21.039000959225476,7,tmean_c,2022
41,0.00377332165161,0.323563001001,Bayongbong,Garut,Jawa Barat,20.04494811380889,7,tmean_c,2022
69,0.0138913839324,0.896048780705,Bungbulang,Garut,Jawa Barat,22.44673778678911,7,tmean_c,2022
79,0.0093655059389,0.664791293249,Caringin,Garut,Jawa Barat,23.946179185090266,7,tmean_c,2022
