OBJECTID_1,SHAPE_Area,SHAPE_Leng,WADMKC,WADMKK,WADMPR,mean,month,var,year
145,0.00877105191672,0.733471298424,Cikajang,Garut,Jawa Barat,89.15891609557649,5,rh_percent,2022
160,0.0144442726556,0.646888090051,Cikelet,Garut,Jawa Barat,87.23044981693351,5,rh_percent,2022
169,0.00653810063178,0.494807261914,Cilawu,Garut,Jawa Barat,89.04578042690332,5,rh_percent,2022
220,0.0131496583772,0.641894318181,Cisewu,Garut,Jawa Barat,89.39862672452603,5,rh_percent,2022
223,0.0141322512659,0.665266503991,Cisompet,Garut,Jawa Barat,87.78875490089514,5,rh_percent,2022
224,0.00750923336275,0.439466170018,Cisurupan,Garut,Jawa Barat,89.03675015938326,5,rh_percent,2022
249,0.00245941913595,0.384481696202,Garut Kota,Garut,Jawa Barat,88.99105799608168,5,rh_percent,2022
299,0.0031484713815,0.298128997356,Kadungora,Garut,Jawa Barat,88.89345171673627,5,rh_percent,2022
314,0.00433984366237,0.307214204406,Karangpawitan,Garut,Jawa Barat,88.89808375312279,5,rh_percent,2022
317,0.00251785268648,0.225458478591,Karangtengah,Garut,Jawa Barat,89.0520310358346,5,rh_percent,2022
332,0.00199121169243,0.279712115836,Kersamanah,Garut,Jawa Barat,88.88865883257915,5,rh_percent,2022
356,0.00577596704376,0.469132088729,Leles,Garut,Jawa Barat,89.02900653118887,5,rh_percent,2022
365,0.00193521890584,0.331001480214,Leuwigoong,Garut,Jawa Barat,88.87665172005102,5,rh_percent,2022
381,0.00852173195363,0.49052935546,Malangbong,Garut,Jawa Barat,88.93834874415242,5,rh_percent,2022
396,0.00353988874243,0.333146337727,Mekarmukti,Garut,Jawa Barat,88.6308584996537,5,rh_percent,2022
420,0.0156765180059,0.80860228674,Pakenjeng,Garut,Jawa Barat,88.85128109926623,5,rh_percent,2022
428,0.00387713859664,0.3636260503,Pameungpeuk,Garut,Jawa Barat,86.22036647220548,5,rh_percent,2022
430,0.0104450021215,0.550010293389,Pamulihan,Garut,Jawa Barat,89.28160764517011,5,rh_percent,2022
438,0.00167772427629,0.334748194815,Pangatikan,Garut,Jawa Barat,88.96074006809148,5,rh_percent,2022
461,0.00451259005747,0.412668753736,Pasirwangi,Garut,Jawa Barat,89.23740195763048,5,rh_percent,2022
468,0.00456345295184,0.300907189797,Peundeuy,Garut,Jawa Barat,88.56808971350581,5,rh_percent,2022
506,0.0046456155587,0.434772276231,Samarang,Garut,Jawa Barat,89.16830577613275,5,rh_percent,2022
510,0.0029067808153,0.400490095756,Selaawi,Garut,Jawa Barat,89.01120950869809,5,rh_percent,2022
524,0.00431435996945,0.335034623681,Singajaya,Garut,Jawa Barat,89.47690388776456,5,rh_percent,2022
533,0.00258570591084,0.295153888781,Sucinaraja,Garut,Jawa Barat,88.9296622918385,5,rh_percent,2022
554,0.00267409968887,0.333443854312,Sukaresmi,Garut,Jawa Barat,89.2210957238344,5,rh_percent,2022
562,0.00303365528774,0.30755174976,Sukawening,Garut,Jawa Barat,88.96450502286889,5,rh_percent,2022
578,0.00895694247179,0.535401365841,Talegong,Garut,Jawa Barat,89.57935274861832,5,rh_percent,2022
597,0.00423073509134,0.296157460258,Tarogong Kaler,Garut,Jawa Barat,89.0953496013988,5,rh_percent,2022
598,0.00160665653325,0.256536759548,Tarogong Kidul,Garut,Jawa Barat,89.05186244394837,5,rh_percent,2022
621,0.00185013551746,0.317929292318,Wanaraja,Garut,Jawa Barat,88.9443545097786,5,rh_percent,2022
19,0.00704721667414,0.551937022069,Balubur Limbangan,Garut,Jawa Barat,89.52067757451776,6,rh_percent,2022
29,0.00994920128902,0.498717502599,Banjarwangi,Garut,Jawa Barat,89.78487151339728,6,rh_percent,2022
34,0.00387701787238,0.466619020777,Banyuresmi,Garut,Jawa Barat,90.11842183029026,6,rh_percent,2022
41,0.00377332165161,0.323563001001,Bayongbong,Garut,Jawa Barat,89.65407640641303,6,rh_percent,2022
69,0.0138913839324,0.896048780705,Bungbulang,Garut,Jawa Barat,88.24305842917018,6,rh_percent,2022
79,0.0093655059389,0.664791293249,Caringin,Garut,Jawa Barat,87.83500338068782,6,rh_percent,2022
93,0.0176866755796,0.734655704781,Cibalong,Garut,Jawa Barat,86.9876806311092,6,rh_percent,2022
96,0.0031259061506,0.356240171341,Cibatu,Garut,Jawa Barat,89.98710636825109,6,rh_percent,2022
110,0.00174291448018,0.226564261522,Cibiuk,Garut,Jawa Barat,90.00240593738619,6,rh_percent,2022
130,0.00272391026561,0.259079402271,Cigedug,Garut,Jawa Barat,89.29661444736662,6,rh_percent,2022
138,0.00447076701275,0.328957296726,Cihurip,Garut,Jawa Barat,88.84550199501845,6,rh_percent,2022
145,0.00877105191672,0.733471298424,Cikajang,Garut,Jawa Barat,89.11251023500313,6,rh_percent,2022
160,0.0144442726556,0.646888090051,Cikelet,Garut,Jawa Barat,86.10298268634703,6,rh_percent,2022
169,0.00653810063178,0.494807261914,Cilawu,Garut,Jawa Barat,89.80166417525841,6,rh_percent,2022
220,0.0131496583772,0.641894318181,Cisewu,Garut,Jawa Barat,89.11296689945743,6,rh_percent,2022
223,0.0141322512659,0.665266503991,Cisompet,Garut,Jawa Barat,87.04236818764034,6,rh_percent,2022
224,0.00750923336275,0.439466170018,Cisurupan,Garut,Jawa Barat,89.23665547498284,6,rh_percent,2022
249,0.00245941913595,0.384481696202,Garut Kota,Garut,Jawa Barat,90.09095239814486,6,rh_percent,2022
299,0.0031484713815,0.298128997356,Kadungora,Garut,Jawa Barat,89.99424790621556,6,rh_percent,2022
314,0.00433984366237,0.307214204406,Karangpawitan,Garut,Jawa Barat,90.15658158286723,6,rh_percent,2022
317,0.00251785268648,0.225458478591,Karangtengah,Garut,Jawa Barat,90.39296003683727,6,rh_percent,2022
332,0.00199121169243,0.279712115836,Kersamanah,Garut,Jawa Barat,89.93002176671476,6,rh_percent,2022
356,0.00577596704376,0.469132088729,Leles,Garut,Jawa Barat,89.91467391425726,6,rh_percent,2022
365,0.00193521890584,0.331001480214,Leuwigoong,Garut,Jawa Barat,90.03996703312464,6,rh_percent,2022
381,0.00852173195363,0.49052935546,Malangbong,Garut,Jawa Barat,89.8162030570954,6,rh_percent,2022
396,0.00353988874243,0.333146337727,Mekarmukti,Garut,Jawa Barat,87.37390187245438,6,rh_percent,2022
420,0.0156765180059,0.80860228674,Pakenjeng,Garut,Jawa Barat,88.06479446035125,6,rh_percent,2022
428,0.00387713859664,0.3636260503,Pameungpeuk,Garut,Jawa Barat,84.93637142208105,6,rh_percent,2022
430,0.0104450021215,0.550010293389,Pamulihan,Garut,Jawa Barat,89.11462935113072,6,rh_percent,2022
438,0.00167772427629,0.334748194815,Pangatikan,Garut,Jawa Barat,90.28487720521824,6,rh_percent,2022
461,0.00451259005747,0.412668753736,Pasirwangi,Garut,Jawa Barat,89.58928620554708,6,rh_percent,2022
468,0.00456345295184,0.300907189797,Peundeuy,Garut,Jawa Barat,88.39532807938531,6,rh_percent,2022
506,0.0046456155587,0.434772276231,Samarang,Garut,Jawa Barat,89.7349738419059,6,rh_percent,2022
510,0.0029067808153,0.400490095756,Selaawi,Garut,Jawa Barat,89.44055094643196,6,rh_percent,2022
524,0.00431435996945,0.335034623681,Singajaya,Garut,Jawa Barat,89.67051604959559,6,rh_percent,2022
533,0.00258570591084,0.295153888781,Sucinaraja,Garut,Jawa Barat,90.24808304977347,6,rh_percent,2022
554,0.00267409968887,0.333443854312,Sukaresmi,Garut,Jawa Barat,89.62222949758397,6,rh_percent,2022
562,0.00303365528774,0.30755174976,Sukawening,Garut,Jawa Barat,90.27845007012156,6,rh_percent,2022
578,0.00895694247179,0.535401365841,Talegong,Garut,Jawa Barat,89.66995741561144,6,rh_percent,2022
597,0.00423073509134,0.296157460258,Tarogong Kaler,Garut,Jawa Barat,89.92923598878416,6,rh_percent,2022
