kecamatan,year,ir,jumlah_kasus,curah_hujan,kelembapan,temperature,kepadatan_penduduk,jumlah_penduduk,ir_z_score,curah_hujan_z_score,kelembapan_z_score,temperature_z_score,kepadatan_penduduk_z_score,cluster,risk_category
Cisewu,2023,0.0,0,211.52230637957305,86.56392669361115,21.786864013018985,197,34000,-0.4627582636900505,0.8395908896250256,1.0174619117475865,0.1696968146245388,-0.9876791352483976,0,Rendah
Cisompet,2023,9.191176470588236,5,181.0475377077373,85.34903472152753,23.71729151429435,316,54400,-0.2820752554389651,-0.9468005844423718,-0.0186527831975176,1.4960850395324894,-0.8877374366682041,1,Sedang
Cisurupan,2023,26.70623145400593,27,200.4359947833736,84.70785846235522,19.01146638481278,1250,101100,0.0622411478217085,0.1897256608658585,-0.5654768296507912,-1.7372666590402783,-0.1033210797446697,2,Tinggi
Garut Kota,2023,16.819571865443425,22,202.6207907410758,85.71818177055543,21.177229468498453,4719,130800,-0.1321138840648227,0.3177955705489845,0.2961724777163834,-0.2491803930483386,2.81010541079895,2,Tinggi
Kadungora,2023,16.771488469601675,16,191.8025496901824,84.44893247897865,21.947636548614685,2556,95400,-0.1330591224285312,-0.3163557100014176,-0.7863005921285889,0.2801629149892753,0.9935180660177884,2,Tinggi
Karangpawitan,2023,26.38888888888889,38,214.3995684107513,86.18263234053006,21.25375374565087,2765,144000,0.0560027288886213,1.008252263776977,0.6922768817985114,-0.1966008996110048,1.169045923188044,0,Rendah
Karangtengah,2023,0.0,0,219.744965154736,86.78752202775733,21.134691263067182,832,19400,-0.4627582636900505,1.3215924985065322,1.2081541022908244,-0.2784082064500213,-0.4543767940851809,0,Rendah
Kersamanah,2023,49.87531172069825,20,207.665531477954,84.75519968400774,21.449269639495075,2432,40100,0.5177061401861633,0.6135117394978996,-0.5251020995859444,-0.0622627909765299,0.8893771364048138,2,Tinggi
Leles,2023,2.2988505747126435,2,201.42128356404248,84.50353427247397,21.1105941306682,1184,87000,-0.4175667434654111,0.2474820132186769,-0.7397337187679608,-0.2949652398775605,-0.158750929377382,2,Tinggi
Leuwigoong,2023,55.55555555555556,27,199.33074625105155,84.94622578850168,21.63853999194122,2514,48600,0.6293701417387323,0.1249374232215708,-0.362186417753889,0.0677840336998103,0.958244525342426,2,Tinggi
Malangbong,2023,37.06449221645664,50,211.28379460662856,84.2036278370435,21.792964814284744,1461,134900,0.2658670623929033,0.8256096383728542,-0.9955074599716184,0.1738886482759248,0.0738864698386982,2,Tinggi
Mekarmukti,2023,0.0,0,162.36220370182286,85.99830132424246,23.7301639556112,349,19300,-0.4627582636900505,-2.0421106659628827,0.5350710733000066,1.5049296372069476,-0.860022511851848,1,Sedang
